,Wing,Main Landing Gear,Power Plant,Nose Landing Gear,Fuselage,Vertical/Horizontal stabilizer,Fixed Equipment,Battery,EW
Cessna 150,0.144,0.05329362,0.193,0.01570638,0.154,0.024,0.068,0.19779443,0.652
Cessna 172,0.103,0.038618566,0.169,0.011381434,0.16,0.026,0.072,0.19779443,0.58
Cessna 175,0.097,0.036301452,0.19,0.010698548,0.149,0.024,0.068,0.19779443,0.575
Cessna 180,0.089,0.032439595,0.218,0.009560405,0.152,0.023,0.065,0.19779443,0.589
Cessna 182,0.089,0.038618566,0.219,0.011381434,0.151,0.023,0.065,0.19779443,0.597
L-19A,0.113,0.049431764,0.278,0.014568236,0.103,0.03,0.136,0.19779443,0.724
Cessna 210A,0.09,0.054838363,0.21,0.016161637,0.109,0.024,0.094,0.19779443,0.598
Beech J-35,0.131,0.054838363,0.222,0.016161637,0.069,0.02,0.115,0.19779443,0.628
Rockwell 112TCA,0.113,0.042480422,0.21,0.012519578,0.121,0.033,0.151,0.19779443,0.683
Cessna 210J,0.099,0.043252793,0.179,0.012747207,0.12,0.025,0.099,0.19779443,0.578
Beech 65QA,0.091,0.046342279,0.258,0.013657721,0.082,0.021,0.123,0.19779443,0.635
Beech E-18S,0.09,0.046342279,0.316,0.013657721,0.079,0.019,0.128,0.19779443,0.692
Beech G-50 TB,0.092,0.048659393,0.262,0.014340607,0.069,0.022,0.114,0.19779443,0.622
Beech 95 TA,0.115,0.042480422,0.263,0.012519578,0.069,0.02,0.122,0.19779443,0.644
Cessna 310C,0.094,0.041708051,0.286,0.041708051,0.066,0.024,0.103,0.19779443,0.656416102
Cessna 404-3,0.102,0.02935011,0.228,0.00864989,0.073,0.022,0.134,0.19779443,0.597
Cessna 414A,0.094,0.034756709,0.235,0.010243291,0.1,0.024,0.167,0.19779443,0.665
TP-441,0.088,0.027032996,0.154,0.007967004,0.088,0.023,0.194,0.19779443,0.582
Rockwell 690B,0.098,0.009788034,0.164,0.009788034,0.135,0.02,0.187,0.19779443,0.623576067
